0
"[-727.48, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Well')]""]"
"[-731.47, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Well'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well')]""]"
"[-722.54, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well')]""]"
"[-715.14, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'NetPay')]""]"
"[-738.33, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Permeability', 'Top')]""]"
"[-722.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-711.27, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Gross]', ""[('Well', 'Saturation'), ('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Top'), ('Bot', 'Gross'), ('NetPay', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Porosity', 'Top')]""]"
"[-706.04, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-680.42, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-715.71, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
