0
"[-708.78, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Gross', 'Bot')]""]"
"[-727.57, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Well', 'Gross')]""]"
"[-712.92, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top')]""]"
"[-645.87, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-711.61, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Water Saturation Irreducible')]""]"
"[-692.96, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
"[-633.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross')]""]"
"[-693.99, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Porosity', 'Permeability')]""]"
"[-687.49, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-636.98, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Permeability', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
