0
"[-725.65, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Permeability'), ('Layer', 'NetPay'), ('Bot', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross')]""]"
"[-729.88, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Saturation'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Top'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('NetPay', 'Top')]""]"
"[-730.29, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Well'), ('Top', 'Gross'), ('Saturation', 'Gross'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-700.45, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-715.89, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Top')]""]"
"[-700.09, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top')]""]"
"[-727.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Gross')]""]"
"[-736.71, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Permeability'), ('Layer', 'Permeability'), ('Top', 'Permeability'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top')]""]"
"[-727.22, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Top'), ('Saturation', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well')]""]"
"[-717.0, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'Well'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
