0
"[-685.93, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top')]""]"
"[-673.27, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Permeability', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-722.83, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-698.45, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-712.6, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Layer', 'Well')]""]"
"[-733.03, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Well')]""]"
"[-727.5, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Layer', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Permeability')]""]"
"[-697.93, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Layer', 'Top')]""]"
"[-729.1, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Layer', 'Top'), ('Bot', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'Bot')]""]"
"[-730.79, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
