0
"[-730.56, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Gross', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-728.0, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Well'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Well', 'NetPay')]""]"
"[-726.29, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Top'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Bot', 'Top')]""]"
"[-721.95, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Well'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-715.64, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-733.17, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-699.94, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Gross', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top')]""]"
"[-702.9, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-711.52, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity')]""]"
"[-724.32, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Layer', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'NetPay')]""]"
