0
"[-730.83, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Well')]""]"
"[-706.6, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Gross')]""]"
"[-728.1, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Well')]""]"
"[-716.1, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top')]""]"
"[-727.53, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well')]""]"
"[-712.16, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well')]""]"
"[-730.69, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Well'), ('Gross', 'Bot'), ('Gross', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top')]""]"
"[-721.81, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Porosity', 'Permeability')]""]"
"[-710.59, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Top', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Bot')]""]"
"[-708.29, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Saturation', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
