0
"[-724.95, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Permeability')]""]"
"[-720.82, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('NetPay', 'Well'), ('NetPay', 'Top')]""]"
"[-727.65, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Saturation', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
"[-722.29, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'NetPay')]""]"
"[-631.1, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-732.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-721.27, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Saturation')]""]"
"[-716.07, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-722.39, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Saturation', 'Top'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-703.87, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Well')]""]"
