0
"[-727.3, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot')]""]"
"[-723.15, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-706.47, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-665.37, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Permeability')]""]"
"[-679.25, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Gross')]""]"
"[-716.01, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Well'), ('Well', 'Water Saturation Irreducible')]""]"
"[-650.85, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Porosity', 'Permeability'), ('NetPay', 'Bot')]""]"
"[-723.4, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Gross')]""]"
"[-719.98, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-709.06, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability')]""]"
