0
"[-725.68, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Top', 'Water Saturation Irreducible')]""]"
"[-706.54, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Bot')]""]"
"[-684.85, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Bot')]""]"
"[-701.05, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-708.2, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Porosity', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-718.79, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Saturation', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-669.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Bot')]""]"
"[-709.65, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Well'), ('Saturation', 'NetPay'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-697.54, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Porosity', 'Top'), ('Top', 'NetPay')]""]"
"[-701.73, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability')]""]"
