0
"[-708.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-714.71, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Top', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Permeability')]""]"
"[-713.99, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top')]""]"
"[-649.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-718.52, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-721.79, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Well'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible')]""]"
"[-722.83, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'Well')]""]"
"[-720.87, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'Permeability')]""]"
"[-706.36, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-716.83, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well')]""]"
