0
"[-716.77, '[Well, Layer, Top, Bot, Gross, Saturation, Water Saturation Irreducible, Porosity, NetPay, Permeability]', ""[('Layer', 'Well'), ('Layer', 'Gross'), ('Top', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability')]""]"
"[-733.41, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-708.83, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Bot', 'Top')]""]"
"[-712.82, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Well'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-699.61, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-726.07, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Porosity'), ('Bot', 'Top'), ('Bot', 'NetPay')]""]"
"[-699.33, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Permeability', 'Top')]""]"
"[-718.29, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Layer', 'Well')]""]"
"[-726.36, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-708.68, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'Water Saturation Irreducible')]""]"
