0
"[-612.76, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Top', 'Permeability')]""]"
"[-701.35, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Well', 'NetPay')]""]"
"[-694.56, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Layer', 'Well')]""]"
"[-707.94, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Layer', 'Well')]""]"
"[-713.84, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Well'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-631.26, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Gross', 'NetPay')]""]"
"[-704.6, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'NetPay'), ('Gross', 'Permeability')]""]"
"[-654.45, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Porosity')]""]"
"[-725.41, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Top', 'NetPay'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Permeability')]""]"
"[-633.81, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
