0
"[-714.87, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible')]""]"
"[-708.3, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
"[-705.04, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-724.62, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-719.6, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('NetPay', 'Well'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-661.83, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-738.97, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-678.54, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Gross', 'Top')]""]"
"[-688.16, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well')]""]"
"[-727.32, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Porosity', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity')]""]"
