0
"[-726.52, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-716.42, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well')]""]"
"[-714.55, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-718.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Layer', 'Top'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-642.15, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Top')]""]"
"[-722.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-609.63, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible')]""]"
"[-735.55, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-722.38, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Permeability'), ('Bot', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-635.77, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Bot')]""]"
