0
"[-722.52, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Well'), ('Top', 'Well'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Saturation', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-681.86, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well'), ('Layer', 'NetPay')]""]"
"[-713.59, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-616.3, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Well', 'Water Saturation Irreducible')]""]"
"[-699.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-626.36, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-697.92, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-705.39, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well')]""]"
"[-703.49, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-708.62, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Well')]""]"
