0
"[-722.65, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Gross', 'NetPay'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-691.35, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-709.39, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-721.96, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('NetPay', 'Top')]""]"
"[-720.55, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Permeability')]""]"
"[-718.18, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Permeability')]""]"
"[-721.04, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('NetPay', 'Well'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-729.86, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Gross')]""]"
"[-733.51, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Porosity, Bot, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Layer', 'Saturation'), ('Top', 'Well'), ('Gross', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Porosity', 'Gross'), ('Bot', 'NetPay'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-718.14, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Layer', 'Top'), ('Top', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Bot')]""]"
