0
"[-729.67, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Layer', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'NetPay')]""]"
"[-717.94, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-720.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Bot', 'Top'), ('Saturation', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-719.21, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Top', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-704.58, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Gross', 'Well'), ('Gross', 'NetPay')]""]"
"[-672.42, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Permeability')]""]"
"[-712.52, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'NetPay')]""]"
"[-721.35, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Layer', 'Well')]""]"
"[-724.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Well', 'Porosity'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-718.96, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
