0
"[-699.77, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-731.91, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well'), ('Gross', 'Top')]""]"
"[-680.98, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Gross'), ('Top', 'Gross'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Layer', 'Top'), ('Layer', 'NetPay'), ('Gross', 'NetPay')]""]"
"[-712.47, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot')]""]"
"[-703.65, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Permeability', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-703.42, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Well'), ('Bot', 'Porosity')]""]"
"[-720.07, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Permeability')]""]"
"[-693.24, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Gross'), ('Gross', 'Top')]""]"
"[-725.62, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Bot', 'Well'), ('Gross', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-714.86, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Water Saturation Irreducible')]""]"
