0
"[-729.5, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross')]""]"
"[-651.99, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Bot'), ('Layer', 'Well'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-718.95, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Permeability')]""]"
"[-732.26, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Permeability'), ('Top', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross')]""]"
"[-716.16, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Porosity', 'NetPay')]""]"
"[-726.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Well'), ('Bot', 'Well'), ('Bot', 'Top'), ('Gross', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-720.28, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Gross', 'Top'), ('Saturation', 'Top'), ('NetPay', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-731.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'Well')]""]"
"[-736.5, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Gross', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well')]""]"
"[-718.39, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'Bot')]""]"
