0
"[-7181.73, '[Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation, NetPay, Layer]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-7197.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6768.76, '[Layer, Top, Bot, Permeability, Water Saturation Irreducible, NetPay, Saturation, Porosity, Gross, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Well', 'Gross')]""]"
"[-6768.38, '[Well, Layer, Top, Bot, NetPay, Permeability, Porosity, Gross, Saturation, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7172.48, '[Well, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top, Layer]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Bot', 'Gross')]""]"
"[-6796.97, '[Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, Gross, NetPay, Layer]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-6836.82, '[Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross, Bot, Well, Layer]', ""[('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Well', 'Top'), ('Layer', 'Porosity')]""]"
"[-6757.83, '[Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well, Saturation]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Saturation', 'Well')]""]"
"[-7194.31, '[Top, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation, Well, Bot, Layer]', ""[('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Well', 'Top'), ('Bot', 'Gross')]""]"
"[-6930.6, '[Layer, Top, Gross, NetPay, Water Saturation Irreducible, Permeability, Bot, Well, Porosity, Saturation]', ""[('Layer', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Layer')]""]"
