0
"[-7176.19, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-6856.49, '[Well, Layer, Bot, Gross, Porosity, Permeability, Top, Water Saturation Irreducible, Saturation, NetPay]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Top', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well')]""]"
"[-6793.89, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Top, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7107.47, '[Well, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, Layer, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-6492.57, '[Well, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot, Layer]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Layer', 'Well')]""]"
"[-6892.78, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-7192.18, '[Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross, Bot, Layer, Well]', ""[('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-7193.25, '[Top, Bot, Porosity, Water Saturation Irreducible, Saturation, Gross, Layer, NetPay, Permeability, Well]', ""[('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-6841.25, '[Well, Bot, Gross, Saturation, NetPay, Permeability, Layer, Top, Water Saturation Irreducible, Porosity]', ""[('Well', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Bot')]""]"
"[-6869.11, '[Layer, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top, Well, Bot]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Well', 'Permeability'), ('Bot', 'Gross')]""]"
