0
"[-7181.73, '[Layer, Bot, Gross, Permeability, Water Saturation Irreducible, Well, Saturation, NetPay, Top, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6836.04, '[Well, Top, Gross, NetPay, Porosity, Permeability, Layer, Bot, Saturation, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6927.0, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer')]""]"
"[-7194.31, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible, Well]', ""[('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-6677.26, '[Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Well, NetPay, Permeability]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Well', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7130.44, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-6851.82, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity')]""]"
"[-7055.81, '[Well, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Top, Porosity, Gross]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-6863.12, '[Well, Layer, Top, Bot, Saturation, NetPay, Water Saturation Irreducible, Gross, Porosity, Permeability]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7034.28, '[Well, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Saturation]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well')]""]"
