0
"[-6725.39, '[Layer, Top, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot, Well, NetPay, Saturation]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7176.19, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7108.8, '[Bot, Saturation, Porosity, Permeability, Gross, Water Saturation Irreducible, Top, Layer, Well, NetPay]', ""[('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Well', 'Top')]""]"
"[-7176.96, '[Well, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Saturation, Bot, Layer]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7181.73, '[Layer, Top, Bot, Gross, Permeability, Well, NetPay, Saturation, Porosity, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6975.37, '[Well, Layer, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, NetPay, Top]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6486.54, '[Layer, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top, Well, Bot, Gross]', ""[('Layer', 'Well'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Gross', 'NetPay')]""]"
"[-6760.12, '[Layer, Gross, NetPay, Permeability, Water Saturation Irreducible, Top, Bot, Porosity, Well, Saturation]', ""[('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Layer')]""]"
"[-6921.46, '[Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Well', 'Top')]""]"
"[-6777.12, '[Well, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Top, Layer, Permeability]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
