0
"[-7101.93, '[Well, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot, Top, Gross, Layer]', ""[('Well', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-6841.07, '[Layer, Top, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity, Bot, Well]', ""[('Layer', 'Well'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Well', 'Top')]""]"
"[-6841.74, '[Top, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability, Bot, Well, Layer]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Bot', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity')]""]"
"[-6491.65, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay')]""]"
"[-6869.79, '[Well, Bot, Gross, Porosity, Permeability, NetPay, Saturation, Top, Water Saturation Irreducible, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-6734.98, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7123.57, '[Well, Layer, Top, Bot, Porosity, Permeability, Water Saturation Irreducible, Saturation, NetPay, Gross]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-6788.67, '[Well, Bot, Saturation, Porosity, Permeability, Top, Gross, Water Saturation Irreducible, NetPay, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
"[-6820.04, '[Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay, Well, Top]', ""[('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Layer', 'Porosity'), ('Well', 'Gross'), ('Top', 'Bot')]""]"
"[-7176.05, '[Well, Layer, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, Bot, NetPay, Porosity]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
