0
"[-7171.42, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-7104.14, '[Layer, Top, Bot, Gross, Porosity, Water Saturation Irreducible, NetPay, Permeability, Well, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Saturation', 'Well')]""]"
"[-7176.96, '[Well, Layer, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top, Bot, NetPay]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-7128.23, '[Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, Bot, Gross, Layer]', ""[('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7194.31, '[Layer, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Gross, Well, Saturation, Porosity]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Saturation', 'Layer')]""]"
"[-7194.31, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-7154.12, '[Well, Layer, Top, Bot, Saturation, Permeability, Water Saturation Irreducible, Porosity, Gross, NetPay]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-6677.33, '[Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation, Layer, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Saturation', 'Well'), ('Layer', 'Well'), ('Well', 'Top')]""]"
"[-7162.01, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-7104.14, '[Well, Layer, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top, Gross]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay')]""]"
