0
"[-7129.11, '[Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well, Layer, Saturation]', ""[('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7181.73, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-6664.51, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7158.4, '[Well, Layer, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross, Top]', ""[('Well', 'Gross'), ('Well', 'Top'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7197.92, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross')]""]"
"[-7176.96, '[Layer, Top, Bot, Saturation, NetPay, Permeability, Gross, Porosity, Well, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-6791.24, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7034.28, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7194.31, '[Well, Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Bot, Saturation]', ""[('Well', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Layer')]""]"
"[-6843.8, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, NetPay, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
