0
"[-7104.14, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Bot', 'Gross')]""]"
"[-6774.11, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7172.48, '[Well, Top, Bot, Gross, NetPay, Permeability, Porosity, Layer, Saturation, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6909.65, '[Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Layer, Well, Saturation]', ""[('Bot', 'Gross'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7158.4, '[Top, Bot, Gross, Permeability, Water Saturation Irreducible, NetPay, Layer, Saturation, Porosity, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-6447.44, '[Well, Layer, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, Bot, NetPay, Porosity]', ""[('Layer', 'Well'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-6836.82, '[Well, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Layer, Porosity]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-7194.31, '[Top, Bot, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible, Saturation, Layer, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-7194.31, '[Well, Top, NetPay, Permeability, Water Saturation Irreducible, Layer, Bot, Gross, Porosity, Saturation]', ""[('Well', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer')]""]"
"[-6519.66, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Layer', 'Porosity')]""]"
