0
"[-7176.05, '[Well, Saturation, Permeability, Water Saturation Irreducible, Bot, Top, Layer, NetPay, Porosity, Gross]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-7194.12, '[Layer, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Well, Gross, NetPay]', ""[('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Gross', 'NetPay')]""]"
"[-7097.85, '[Well, Top, Gross, Saturation, NetPay, Water Saturation Irreducible, Bot, Porosity, Permeability, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Bot', 'Gross'), ('Permeability', 'Porosity')]""]"
"[-6841.07, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6766.22, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Bot, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-6845.93, '[Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, Layer, NetPay, Well]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Well'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-7108.57, '[Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Layer, Well, Porosity]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Well', 'Top')]""]"
"[-6824.44, '[Well, Top, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Bot, Porosity, Layer]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Bot', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7198.6, '[Layer, Top, Bot, Gross, Water Saturation Irreducible, Porosity, Saturation, Well, Permeability, NetPay]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-6861.16, '[Top, Gross, NetPay, Permeability, Water Saturation Irreducible, Well, Layer, Porosity, Bot, Saturation]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Layer')]""]"
