0
"[-7170.55, '[Well, Top, Saturation, NetPay, Porosity, Permeability, Bot, Gross, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7108.8, '[Top, Bot, Gross, Water Saturation Irreducible, Well, Permeability, Porosity, NetPay, Saturation, Layer]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Layer', 'Porosity')]""]"
"[-7194.31, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-7172.48, '[Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Well, Saturation, Porosity]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7188.77, '[Bot, Gross, Porosity, Water Saturation Irreducible, Permeability, Layer, NetPay, Top, Well, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
"[-7176.05, '[Layer, Top, Bot, Water Saturation Irreducible, Well, Saturation, Porosity, Permeability, NetPay, Gross]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Gross', 'NetPay')]""]"
"[-6847.58, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Well')]""]"
"[-7194.12, '[Well, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability, Saturation, Top]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-6725.39, '[Well, Top, Porosity, NetPay, Layer, Bot, Permeability, Saturation, Water Saturation Irreducible, Gross]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-6805.54, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
