0
"[-6737.14, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Depth, Porosity, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Porosity'), ('Lithology', 'Permeability'), ('Depth', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Netpay')]""]"
"[-6638.49, '[Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology, Tectonic regime]', ""[('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Netpay', 'Depth'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Permeability', 'Depth'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology')]""]"
"[-6728.85, '[Permeability, Lithology, Structural setting, Tectonic regime, Porosity, Period, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Netpay', 'Depth'), ('Depth', 'Permeability')]""]"
"[-6624.39, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Period', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Depth', 'Netpay'), ('Depth', 'Permeability')]""]"
"[-6624.27, '[Depth, Structural setting, Tectonic regime, Lithology, Porosity, Period, Netpay, Gross, Permeability]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Structural setting'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Netpay', 'Depth'), ('Gross', 'Netpay'), ('Permeability', 'Gross')]""]"
"[-6656.17, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Depth, Porosity, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Depth', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Netpay')]""]"
"[-6687.6, '[Permeability, Lithology, Porosity, Period, Structural setting, Tectonic regime, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Period'), ('Lithology', 'Tectonic regime'), ('Lithology', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Gross', 'Depth'), ('Netpay', 'Permeability'), ('Netpay', 'Depth'), ('Depth', 'Permeability')]""]"
"[-6585.49, '[Permeability, Lithology, Period, Structural setting, Tectonic regime, Porosity, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Netpay', 'Porosity'), ('Depth', 'Permeability')]""]"
"[-6632.69, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Period', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Netpay', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Depth'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-6728.96, '[Depth, Structural setting, Tectonic regime, Lithology, Porosity, Period, Gross, Permeability, Netpay]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Structural setting'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Permeability', 'Depth'), ('Netpay', 'Permeability')]""]"
