0
"[-8308.03, '[Well, Layer, Gross, NetPay, Porosity, Permeability, Saturation, Top, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7345.48, '[Top, Gross, Porosity, NetPay, Well, Bot, Permeability, Water Saturation Irreducible, Layer, Saturation]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-7527.1, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-13006.42, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-8461.38, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8880.97, '[Well, Bot, Porosity, Permeability, Gross, Top, NetPay, Layer, Saturation, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-9316.18, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well')]""]"
"[-8547.62, '[Well, Top, Bot, Saturation, Permeability, Water Saturation Irreducible, Gross, Porosity, NetPay, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8547.62, '[Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Top, Well, Permeability, Layer, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-10188.54, '[Well, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Bot, Porosity]', ""[('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Gross')]""]"
