0
"[-8206.56, '[Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well, Top]', ""[('Layer', 'NetPay'), ('Layer', 'Top'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Well', 'NetPay'), ('Well', 'Top'), ('Top', 'NetPay')]""]"
"[-8779.85, '[Well, Layer, Gross, Saturation, Porosity, Permeability, NetPay, Top, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Porosity')]""]"
"[-8825.49, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Porosity')]""]"
"[-7058.89, '[Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-8355.88, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation')]""]"
"[-8399.19, '[Layer, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity, Well, Bot]', ""[('Layer', 'Saturation'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Bot', 'Porosity')]""]"
"[-8624.25, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
"[-8282.83, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top]', ""[('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Gross', 'Permeability'), ('Top', 'NetPay')]""]"
"[-8218.35, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Well, Water Saturation Irreducible]', ""[('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7390.22, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
