0
"[-8707.09, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8306.27, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability]', ""[('Layer', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top'), ('Permeability', 'Porosity')]""]"
"[-8218.19, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-8543.85, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Gross'), ('Layer', 'NetPay'), ('Bot', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-9197.89, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability')]""]"
"[-8165.9, '[Well, Top, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross, Bot, Saturation]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Bot')]""]"
"[-8475.84, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-8106.1, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Layer', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8717.47, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7736.5, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer')]""]"
