0
"[-8398.81, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('NetPay', 'Top')]""]"
"[-8923.2, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Well', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Porosity', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-9034.0, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Bot')]""]"
"[-7945.68, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Bot')]""]"
"[-8733.78, '[Well, Layer, Top, Bot, Gross, Saturation, Water Saturation Irreducible, Permeability, Porosity, NetPay]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability')]""]"
"[-8941.14, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8425.48, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Well', 'Saturation'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability')]""]"
"[-8597.13, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'NetPay'), ('Top', 'Porosity')]""]"
"[-7900.49, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Layer', 'Porosity'), ('Saturation', 'Porosity'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Well', 'Saturation')]""]"
"[-9429.17, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Gross', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Layer'), ('Well', 'Gross')]""]"
