0
"[-8415.15, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'NetPay')]""]"
"[-7641.75, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Porosity', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8497.98, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Bot, Porosity]', ""[('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Porosity', 'NetPay')]""]"
"[-8031.71, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability')]""]"
"[-8667.4, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8856.7, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Top', 'Water Saturation Irreducible')]""]"
"[-8671.22, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-8453.13, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Bot'), ('Layer', 'Gross'), ('Top', 'Porosity'), ('Top', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8268.78, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-9017.08, '[Well, Layer, Top, Gross, Porosity, Water Saturation Irreducible, NetPay, Permeability, Saturation, Bot]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Gross', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Saturation', 'Bot'), ('Bot', 'Water Saturation Irreducible')]""]"
