0
"[-7879.15, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'NetPay')]""]"
"[-8514.76, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Top', 'NetPay')]""]"
"[-8032.57, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7583.9, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Porosity, Gross, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7538.9, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-8503.7, '[Layer, Top, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity, Bot, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Saturation'), ('Well', 'Gross')]""]"
"[-8536.57, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Porosity'), ('Well', 'Top'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8098.7, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot')]""]"
"[-7944.45, '[Well, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation, Top, Layer]', ""[('Well', 'NetPay'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Well'), ('Top', 'Bot'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8662.14, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Bot')]""]"
