0
"[-8868.27, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8887.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Saturation'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Porosity', 'Gross')]""]"
"[-8950.29, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-8753.0, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top')]""]"
"[-8337.76, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Porosity', 'Top')]""]"
"[-8381.39, '[Well, Layer, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, Bot, NetPay, Top]', ""[('Well', 'Gross'), ('Layer', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top'), ('Bot', 'Porosity')]""]"
"[-8946.1, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross')]""]"
"[-8803.53, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity')]""]"
"[-8477.97, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8463.21, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Permeability')]""]"
