0
"[-8097.73, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Well', 'Top')]""]"
"[-8449.98, '[Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot, Well, Saturation]', ""[('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Gross'), ('Saturation', 'Layer')]""]"
"[-8719.11, '[Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Layer, Well]', ""[('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Top', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7632.49, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('NetPay', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7442.7, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Bot'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8887.73, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Top', 'Bot'), ('Top', 'Porosity'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Bot'), ('Layer', 'Porosity'), ('Well', 'Gross')]""]"
"[-8396.0, '[Well, Top, Bot, Gross, NetPay, Porosity, Layer, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-8766.99, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Bot, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Bot', 'Gross')]""]"
"[-7391.25, '[Well, Layer, Saturation, Water Saturation Irreducible, Gross, Top, Porosity, Bot, Permeability, NetPay]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8159.17, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
