0
"[-8897.36, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot'), ('Layer', 'Bot')]""]"
"[-9247.65, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Top')]""]"
"[-8392.86, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-8869.65, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Saturation'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Permeability')]""]"
"[-8211.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Porosity', 'Top')]""]"
"[-7961.26, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-9017.14, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Permeability', 'NetPay'), ('Porosity', 'NetPay'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8740.08, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Bot', 'Gross'), ('Gross', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Saturation', 'Layer'), ('Well', 'Gross')]""]"
"[-8174.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'NetPay')]""]"
"[-8952.98, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability')]""]"
