0
"[-8505.09, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Well', 'Top')]""]"
"[-8565.16, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-7982.31, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8533.52, '[Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Well, Saturation, Permeability]', ""[('Layer', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Bot')]""]"
"[-7779.95, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7647.36, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity')]""]"
"[-8824.91, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay')]""]"
"[-8396.77, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8803.03, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Top', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-8016.67, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Bot, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
