0
"[-8446.27, '[Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Well, Porosity]', ""[('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Well', 'Water Saturation Irreducible'), ('Porosity', 'NetPay')]""]"
"[-9205.56, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Top]', ""[('Well', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Top', 'Porosity')]""]"
"[-8791.52, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Well', 'NetPay'), ('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'NetPay')]""]"
"[-8524.61, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Porosity', 'Bot'), ('Porosity', 'Gross')]""]"
"[-7356.71, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-9545.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'NetPay')]""]"
"[-8319.13, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot]', ""[('Well', 'Gross'), ('Well', 'Bot'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Bot'), ('Bot', 'NetPay')]""]"
"[-7087.04, '[Layer, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Well, NetPay, Top, Porosity]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Porosity', 'Bot')]""]"
"[-8412.85, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8293.99, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Bot, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
