0
"[-8976.5, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Porosity')]""]"
"[-8339.43, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7536.63, '[Well, Top, Bot, Gross, NetPay, Water Saturation Irreducible, Permeability, Porosity, Layer, Saturation]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7782.0, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Top'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Porosity')]""]"
"[-8024.33, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'NetPay')]""]"
"[-8711.68, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-8606.23, '[Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer, Saturation]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay'), ('Well', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8344.38, '[Layer, Top, Bot, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation, NetPay, Gross]', ""[('Bot', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-7909.37, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Gross')]""]"
"[-8296.51, '[Well, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Bot'), ('Top', 'Bot')]""]"
