0
"[-8637.72, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Layer')]""]"
"[-7835.01, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8849.51, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Top')]""]"
"[-8219.89, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-8640.9, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability, Gross]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability')]""]"
"[-8414.01, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Permeability'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well')]""]"
"[-8735.83, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Top', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-8040.97, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Top')]""]"
"[-8759.02, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-8059.71, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Gross')]""]"
