0
"[-7461.65, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-8454.29, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top'), ('Well', 'Saturation'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7431.48, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'Well'), ('Porosity', 'Bot')]""]"
"[-8162.21, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-8446.67, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Well')]""]"
"[-7635.37, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-7414.2, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, NetPay]', ""[('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Layer', 'Saturation')]""]"
"[-7317.37, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability')]""]"
"[-8232.44, '[Well, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer, Top]', ""[('Well', 'Bot'), ('Well', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Top', 'Water Saturation Irreducible')]""]"
"[-8248.01, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
