0
"[-8963.23, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Gross')]""]"
"[-8091.8, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Saturation', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8144.81, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Bot')]""]"
"[-7999.06, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability')]""]"
"[-8314.81, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-8460.0, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Porosity', 'Top'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8060.64, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability')]""]"
"[-8253.82, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability')]""]"
"[-8673.95, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top')]""]"
"[-8056.13, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Layer', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity'), ('Gross', 'NetPay')]""]"
