0
"[-8200.7, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Bot'), ('Layer', 'Saturation'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-9016.4, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Bot', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer')]""]"
"[-7301.23, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Well'), ('Layer', 'Porosity')]""]"
"[-8615.12, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity')]""]"
"[-8844.15, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8528.35, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Top', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Layer', 'Saturation'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8143.96, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Well')]""]"
"[-8495.3, '[Well, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer, Top]', ""[('Well', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-8752.74, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Porosity'), ('Porosity', 'Gross'), ('Well', 'Porosity')]""]"
"[-8556.31, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Top', 'Permeability'), ('Gross', 'Permeability'), ('Porosity', 'NetPay'), ('Layer', 'Bot'), ('Saturation', 'Water Saturation Irreducible')]""]"
