0
"[-8529.4, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability')]""]"
"[-8558.37, '[Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay, Layer, Well]', ""[('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Layer', 'Top'), ('Well', 'Permeability')]""]"
"[-8186.05, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-8874.14, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Gross'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-8227.21, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-8830.43, '[Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top, Well]', ""[('Layer', 'Bot'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay'), ('Top', 'Porosity'), ('Well', 'NetPay')]""]"
"[-8213.66, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8215.12, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Top'), ('Top', 'NetPay')]""]"
"[-9009.97, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Top')]""]"
"[-8287.25, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Saturation', 'Top')]""]"
