0
"[-8531.91, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity')]""]"
"[-8127.4, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8495.69, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8092.28, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-6706.67, '[Well, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Layer, Permeability, Porosity]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity')]""]"
"[-8828.28, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Layer', 'Porosity')]""]"
"[-6805.64, '[Well, Layer, Top, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot, Saturation, Gross]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Bot')]""]"
"[-7370.0, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-8062.18, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top')]""]"
"[-9022.63, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Porosity', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability')]""]"
