0
"[-8609.95, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top]', ""[('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Well', 'Permeability')]""]"
"[-7757.84, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8931.34, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8574.15, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Layer', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-8593.86, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Saturation, NetPay, Water Saturation Irreducible]', ""[('Layer', 'Porosity'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-8997.47, '[Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Well, Permeability]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-8943.82, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8587.36, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Porosity')]""]"
"[-7572.51, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Gross]', ""[('Layer', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Gross', 'NetPay')]""]"
"[-8666.69, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Porosity')]""]"
