0
"[-891.98, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Permeability', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-4588.68, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Well')]""]"
"[-73354.66, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Well'), ('Bot', 'Well'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Layer', 'Well')]""]"
"[-13035.83, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('NetPay', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-4491.82, '[Well, Layer, Top, Bot, Saturation, Porosity, Water Saturation Irreducible, Gross, NetPay, Permeability]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'Gross')]""]"
"[-1827.27, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'Permeability')]""]"
"[-3727.3, '[Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well, Bot]', ""[('Gross', 'Top'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Porosity', 'Well'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-28529.11, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Top'), ('Bot', 'NetPay')]""]"
"[-4238.38, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Saturation', 'Porosity'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity')]""]"
"[-4156.7, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Saturation', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Permeability')]""]"
