0
"[-2220.38, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well')]""]"
"[-1008.26, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Gross'), ('Well', 'Porosity')]""]"
"[-4490.05, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'Well')]""]"
"[-1582.78, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Layer', 'Well')]""]"
"[-2274.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-5188.69, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Bot'), ('Bot', 'NetPay')]""]"
"[-15094.29, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Well'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-7080.58, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Top'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Porosity', 'Bot'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-1577.16, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Saturation'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top')]""]"
"[-3711.62, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well')]""]"
