0
"[-3727.34, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well')]""]"
"[-4162.42, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('NetPay', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Well')]""]"
"[-4403.66, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Well'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Porosity', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well')]""]"
"[-1350.92, '[Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well, Gross]', ""[('Layer', 'Well'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Top')]""]"
"[-1637.23, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Gross')]""]"
"[-911.11, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Well')]""]"
"[-1920.5, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('NetPay', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-1557.26, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Well', 'Bot')]""]"
"[-1505.22, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Layer', 'Well')]""]"
"[-15740.17, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
