0
"[-6890.38, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
"[-16637.38, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Well')]""]"
"[-1033.87, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Well')]""]"
"[-4280.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-4833.01, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Gross')]""]"
"[-17446.39, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Top')]""]"
"[-1572.03, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Top')]""]"
"[-3832.21, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'Top')]""]"
"[-6861.59, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-3735.17, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
