0
"[-15157.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'Gross'), ('Gross', 'Well'), ('Saturation', 'Well'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-3788.18, '[Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, Bot, NetPay]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Permeability')]""]"
"[-1493.01, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Saturation'), ('Top', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Well')]""]"
"[-3583.71, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Well'), ('Gross', 'Well'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'NetPay')]""]"
"[-3981.98, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Top', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Bot', 'Top')]""]"
"[-5987.48, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-3931.06, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-1447.34, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Gross', 'Porosity')]""]"
"[-1413.15, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Porosity')]""]"
"[-15608.73, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Saturation', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
