0
"[-1511.78, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top')]""]"
"[-77805.02, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-3836.94, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Well'), ('Gross', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well')]""]"
"[-3822.43, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Gross')]""]"
"[-881.11, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Porosity', 'Gross'), ('Layer', 'Well')]""]"
"[-1393.55, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Gross')]""]"
"[-1820.09, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-2461.66, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('NetPay', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-1129.12, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-2006.93, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Bot', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well')]""]"
