0
"[-1911.79, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Porosity'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-4459.25, '[Well, Layer, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Bot, Top, Porosity]', ""[('Layer', 'Well'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross'), ('Top', 'NetPay'), ('Porosity', 'Well')]""]"
"[-1357.28, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-8232.12, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-2254.1, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well')]""]"
"[-1531.96, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well')]""]"
"[-13175.24, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top')]""]"
"[-1091.98, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Top')]""]"
"[-6115.89, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'Top'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Top')]""]"
"[-1307.22, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
