0
"[-2093.02, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Permeability')]""]"
"[-1549.89, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Layer', 'Well'), ('Well', 'Gross'), ('Well', 'Porosity')]""]"
"[-1520.33, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Saturation', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-1351.05, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Gross', 'NetPay')]""]"
"[-2423.43, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Top')]""]"
"[-2952.59, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-3707.88, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-1914.9, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well')]""]"
"[-2129.23, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Gross', 'NetPay')]""]"
"[-1069.97, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay')]""]"
