0
"[-3738.32, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-4127.44, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Top', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-1588.33, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Bot')]""]"
"[-969.6, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Permeability', 'Bot'), ('Well', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-3759.17, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-4431.13, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'NetPay'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
"[-3762.26, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'NetPay')]""]"
"[-1906.82, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Well')]""]"
"[-12999.68, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'NetPay'), ('Layer', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-72639.89, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot]', ""[('Layer', 'Well'), ('Top', 'Well'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Bot', 'Well'), ('Bot', 'Water Saturation Irreducible')]""]"
