0
"[-20490.7, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Layer', 'NetPay')]""]"
"[-1274.94, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-3736.84, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Well'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'Gross')]""]"
"[-1052.19, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well')]""]"
"[-6855.09, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible')]""]"
"[-3924.6, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Porosity'), ('Porosity', 'Permeability')]""]"
"[-1122.85, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-5616.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'NetPay')]""]"
"[-1425.91, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Top')]""]"
"[-1133.45, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Bot')]""]"
