0
"[-3737.18, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Gross', 'Well'), ('Saturation', 'Well'), ('NetPay', 'Well'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well'), ('Layer', 'Saturation')]""]"
"[-3595.11, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Bot')]""]"
"[-1929.54, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Layer', 'Well')]""]"
"[-1889.42, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability')]""]"
"[-943.89, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-1464.13, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Gross')]""]"
"[-4955.16, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Well')]""]"
"[-2030.07, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('NetPay', 'Well')]""]"
"[-4652.06, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-4730.56, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
