0
"[-18170.77, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well')]""]"
"[-3709.11, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-1418.22, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Gross', 'NetPay'), ('Well', 'Bot'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Gross')]""]"
"[-15595.03, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'Well'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-6023.83, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Top'), ('Gross', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Saturation')]""]"
"[-17433.21, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Bot'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'Bot'), ('Well', 'NetPay')]""]"
"[-6101.29, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Top'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top')]""]"
"[-2100.12, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Bot')]""]"
"[-15920.12, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Top', 'Well'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Top')]""]"
"[-1416.48, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Gross', 'Water Saturation Irreducible')]""]"
