0
"[-1437.36, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-13195.92, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Top', 'Gross')]""]"
"[-7454.25, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Well'), ('Bot', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Bot')]""]"
"[-2252.84, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Saturation'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-1461.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-16269.19, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-4141.15, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Bot'), ('NetPay', 'Well'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-1392.42, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Bot', 'Top')]""]"
"[-1961.13, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-7093.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Layer', 'Well'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
