0
"[-1420.29, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Permeability', 'NetPay'), ('Porosity', 'Gross')]""]"
"[-77202.43, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Well'), ('Saturation', 'Top'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross')]""]"
"[-77323.81, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Permeability')]""]"
"[-4646.42, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Well'), ('Permeability', 'Well'), ('Bot', 'Top'), ('Bot', 'NetPay'), ('Well', 'Water Saturation Irreducible')]""]"
"[-1379.1, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Gross', 'Bot')]""]"
"[-20002.24, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-1525.48, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Water Saturation Irreducible')]""]"
"[-1066.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Top'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross')]""]"
"[-4645.96, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'NetPay'), ('Well', 'Top'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'Well')]""]"
"[-3248.1, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
