0
"[-4306.7, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay')]""]"
"[-3998.88, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-7257.12, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Top'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'NetPay')]""]"
"[-987.68, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Layer', 'Saturation'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-6657.26, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Well'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-2559.01, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'NetPay')]""]"
"[-15224.55, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Well')]""]"
"[-1607.66, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Layer', 'Top'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-3729.25, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Layer', 'Well')]""]"
"[-6199.91, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Layer', 'Well')]""]"
